caseid,respondentid,houseviewed,option,fireplaces,bedrooms,preference,averagecostpersquarefootcomparisons,cashprice
211,5,11,A,yes,4 bedroom,1,100,370000
212,5,11,B,yes,4 bedroom,0,90,420000
213,5,11,C,yes,4 bedroom,0,110,420000
214,5,12,A,yes,3 bedroom,1,110,370000
215,5,12,B,yes,3 bedroom,0,100,370000
216,5,12,C,yes,3 bedroom,0,90,370000
217,5,13,A,yes,3 bedroom,0,90,420000
218,5,13,B,yes,4 bedroom,0,110,470000
219,5,13,C,yes,3 bedroom,1,100,420000
220,5,14,A,yes,2 bedroom,0,90,420000
221,5,14,B,yes,2 bedroom,1,100,370000
222,5,14,C,yes,4 bedroom,0,110,370000
223,5,15,A,yes,4 bedroom,1,100,370000
224,5,15,B,yes,3 bedroom,0,90,370000
225,5,15,C,yes,2 bedroom,0,100,420000
226,6,1,A,no,4 bedroom,0,100,470000
227,6,1,B,no,3 bedroom,1,100,370000
228,6,1,C,no,4 bedroom,0,110,470000
229,6,2,A,no,4 bedroom,0,110,470000
230,6,2,B,no,3 bedroom,0,110,370000
231,6,2,C,no,3 bedroom,1,90,420000
232,6,3,A,no,4 bedroom,0,100,420000
233,6,3,B,no,4 bedroom,0,100,470000
234,6,3,C,no,2 bedroom,1,100,420000
235,6,4,A,no,3 bedroom,1,100,370000
236,6,4,B,no,4 bedroom,0,100,370000
237,6,4,C,no,4 bedroom,0,90,420000
238,6,5,A,no,3 bedroom,0,100,470000
239,6,5,B,no,3 bedroom,0,90,370000
240,6,5,C,no,3 bedroom,1,110,420000
241,6,6,A,no,3 bedroom,1,110,470000
242,6,6,B,no,2 bedroom,0,90,370000
243,6,6,C,no,2 bedroom,0,90,420000
244,6,7,A,no,3 bedroom,1,90,470000
245,6,7,B,no,2 bedroom,0,100,470000
246,6,7,C,no,3 bedroom,0,100,470000
247,6,8,A,no,4 bedroom,0,110,420000
248,6,8,B,no,2 bedroom,1,110,420000
249,6,8,C,no,2 bedroom,0,110,420000
250,6,9,A,no,2 bedroom,1,100,370000
251,6,9,B,no,2 bedroom,0,100,470000
252,6,9,C,no,4 bedroom,0,100,370000
253,6,10,A,no,3 bedroom,0,110,470000
254,6,10,B,no,3 bedroom,1,110,420000
255,6,10,C,no,4 bedroom,0,100,420000
256,6,11,A,no,3 bedroom,1,100,420000
257,6,11,B,no,4 bedroom,0,90,370000
258,6,11,C,no,4 bedroom,0,110,420000
259,6,12,A,no,4 bedroom,0,110,370000
260,6,12,B,no,2 bedroom,0,90,470000
261,6,12,C,no,4 bedroom,1,90,420000
262,6,13,A,no,2 bedroom,0,100,370000
263,6,13,B,no,3 bedroom,0,100,420000
264,6,13,C,no,2 bedroom,1,90,370000
265,6,14,A,no,2 bedroom,0,100,420000
266,6,14,B,no,3 bedroom,1,110,370000
267,6,14,C,no,4 bedroom,0,90,470000
268,6,15,A,no,2 bedroom,0,110,370000
269,6,15,B,no,2 bedroom,0,90,420000
270,6,15,C,no,2 bedroom,1,110,370000
271,7,1,A,no,3 bedroom,0,110,370000
272,7,1,B,no,4 bedroom,0,110,470000
273,7,1,C,no,4 bedroom,1,90,370000
274,7,2,A,no,3 bedroom,1,90,370000
275,7,2,B,no,2 bedroom,0,100,370000
276,7,2,C,no,2 bedroom,0,90,470000
277,7,3,A,no,4 bedroom,1,90,470000
278,7,3,B,no,4 bedroom,0,110,420000
279,7,3,C,no,4 bedroom,0,110,470000
280,7,4,A,no,2 bedroom,1,100,420000
281,7,4,B,no,2 bedroom,0,100,420000
282,7,4,C,no,2 bedroom,0,110,370000
283,7,5,A,no,2 bedroom,1,110,370000
284,7,5,B,no,2 bedroom,0,110,470000
285,7,5,C,no,3 bedroom,0,110,470000
286,7,6,A,no,2 bedroom,0,90,420000
287,7,6,B,no,4 bedroom,1,100,370000
288,7,6,C,no,4 bedroom,0,90,370000
289,7,7,A,no,2 bedroom,0,100,470000
290,7,7,B,no,3 bedroom,1,110,420000
291,7,7,C,no,3 bedroom,0,90,470000
292,7,8,A,no,2 bedroom,0,110,420000
293,7,8,B,no,3 bedroom,0,100,370000
294,7,8,C,no,3 bedroom,1,90,470000
295,7,9,A,no,2 bedroom,0,100,470000
296,7,9,B,no,3 bedroom,1,100,420000
297,7,9,C,no,4 bedroom,0,110,370000
298,7,10,A,no,4 bedroom,0,90,420000
299,7,10,B,no,2 bedroom,1,90,470000
300,7,10,C,no,2 bedroom,0,100,370000
301,7,11,A,no,3 bedroom,0,100,470000
302,7,11,B,no,3 bedroom,0,110,420000
303,7,11,C,no,3 bedroom,1,100,370000
304,7,12,A,no,3 bedroom,0,110,470000
305,7,12,B,no,2 bedroom,0,110,470000
306,7,12,C,no,2 bedroom,1,90,370000
307,7,13,A,no,3 bedroom,0,90,370000
308,7,13,B,no,4 bedroom,1,100,420000
309,7,13,C,no,3 bedroom,0,100,420000
310,7,14,A,no,3 bedroom,1,90,420000
311,7,14,B,no,3 bedroom,0,100,470000
312,7,14,C,no,4 bedroom,0,100,470000
313,7,15,A,no,4 bedroom,0,90,420000
314,7,15,B,no,2 bedroom,0,110,420000
315,7,15,C,no,3 bedroom,1,90,420000
316,8,1,A,yes,4 bedroom,0,110,370000
317,8,1,B,yes,3 bedroom,0,90,420000
318,8,1,C,yes,2 bedroom,1,90,470000
319,8,2,A,yes,4 bedroom,0,110,420000
320,8,2,B,yes,4 bedroom,0,100,370000
321,8,2,C,yes,2 bedroom,1,110,370000
322,8,3,A,yes,4 bedroom,0,110,420000
323,8,3,B,yes,2 bedroom,1,110,420000
324,8,3,C,yes,2 bedroom,0,100,420000
325,8,4,A,yes,2 bedroom,1,100,370000
326,8,4,B,yes,2 bedroom,0,90,420000
327,8,4,C,yes,4 bedroom,0,90,370000
328,8,5,A,yes,4 bedroom,0,100,470000
329,8,5,B,yes,2 bedroom,1,90,420000
330,8,5,C,yes,4 bedroom,0,90,470000
331,8,6,A,yes,3 bedroom,0,100,420000
332,8,6,B,yes,3 bedroom,1,90,370000
333,8,6,C,yes,4 bedroom,0,90,370000
334,8,7,A,yes,4 bedroom,0,110,470000
335,8,7,B,yes,3 bedroom,1,110,420000
336,8,7,C,yes,2 bedroom,0,90,470000
337,8,8,A,yes,2 bedroom,1,110,370000
338,8,8,B,yes,3 bedroom,0,110,420000
339,8,8,C,yes,2 bedroom,0,90,370000
340,8,9,A,yes,3 bedroom,0,90,470000
341,8,9,B,yes,2 bedroom,1,110,470000
342,8,9,C,yes,4 bedroom,0,90,420000
343,8,10,A,yes,3 bedroom,0,100,470000
344,8,10,B,yes,2 bedroom,0,110,470000
345,8,10,C,yes,3 bedroom,1,110,370000
346,8,11,A,yes,4 bedroom,0,90,470000
347,8,11,B,yes,4 bedroom,0,100,420000
348,8,11,C,yes,4 bedroom,1,110,370000
349,8,12,A,yes,3 bedroom,0,110,470000
350,8,12,B,yes,4 bedroom,0,110,470000
351,8,12,C,yes,3 bedroom,1,100,370000
352,8,13,A,yes,2 bedroom,0,100,420000
353,8,13,B,yes,3 bedroom,1,110,370000
354,8,13,C,yes,4 bedroom,0,100,370000
355,8,14,A,yes,3 bedroom,1,90,370000
356,8,14,B,yes,3 bedroom,0,90,470000
357,8,14,C,yes,4 bedroom,0,100,420000
358,8,15,A,yes,4 bedroom,1,100,470000
359,8,15,B,yes,2 bedroom,0,100,470000
360,8,15,C,yes,2 bedroom,0,100,470000
361,9,1,A,no,4 bedroom,0,100,420000
362,9,1,B,no,2 bedroom,1,90,370000
363,9,1,C,no,2 bedroom,0,110,420000
364,9,2,A,no,2 bedroom,1,90,420000
365,9,2,B,no,2 bedroom,0,90,420000
366,9,2,C,no,4 bedroom,0,100,470000
367,9,3,A,no,3 bedroom,0,100,470000
368,9,3,B,no,4 bedroom,0,90,420000
369,9,3,C,no,3 bedroom,1,110,470000
370,9,4,A,no,4 bedroom,0,110,470000
371,9,4,B,no,2 bedroom,1,90,470000
372,9,4,C,no,4 bedroom,0,110,420000
373,9,5,A,no,4 bedroom,0,110,420000
374,9,5,B,no,3 bedroom,1,100,370000
375,9,5,C,no,4 bedroom,0,100,370000
376,9,6,A,no,2 bedroom,0,100,470000
377,9,6,B,no,4 bedroom,0,100,470000
378,9,6,C,no,4 bedroom,1,110,470000
379,9,7,A,no,4 bedroom,0,90,370000
380,9,7,B,no,3 bedroom,1,110,370000
381,9,7,C,no,3 bedroom,0,100,470000
382,9,8,A,no,3 bedroom,0,100,420000
383,9,8,B,no,4 bedroom,1,90,370000
384,9,8,C,no,4 bedroom,0,100,370000
385,9,9,A,no,3 bedroom,1,110,420000
386,9,9,B,no,4 bedroom,0,100,420000
387,9,9,C,no,3 bedroom,0,90,370000
388,9,10,A,no,2 bedroom,0,100,470000
389,9,10,B,no,4 bedroom,0,90,420000
390,9,10,C,no,2 bedroom,1,90,470000
391,9,11,A,no,3 bedroom,0,110,370000
392,9,11,B,no,4 bedroom,1,110,370000
393,9,11,C,no,3 bedroom,0,100,420000
394,9,12,A,no,2 bedroom,0,110,370000
395,9,12,B,no,3 bedroom,1,90,420000
396,9,12,C,no,4 bedroom,0,90,470000
397,9,13,A,no,2 bedroom,0,100,370000
398,9,13,B,no,3 bedroom,1,90,420000
399,9,13,C,no,2 bedroom,0,110,420000
400,9,14,A,no,2 bedroom,0,110,470000
401,9,14,B,no,4 bedroom,0,110,370000
402,9,14,C,no,3 bedroom,1,100,370000
403,9,15,A,no,3 bedroom,1,110,420000
404,9,15,B,no,2 bedroom,0,110,470000
405,9,15,C,no,4 bedroom,0,90,470000
406,10,1,A,no,4 bedroom,0,110,470000
407,10,1,B,no,3 bedroom,1,90,470000
408,10,1,C,no,2 bedroom,0,100,470000
409,10,2,A,no,4 bedroom,1,110,420000
410,10,2,B,no,4 bedroom,0,100,470000
411,10,2,C,no,2 bedroom,0,90,470000
412,10,3,A,no,3 bedroom,0,110,470000
413,10,3,B,no,2 bedroom,0,100,370000
414,10,3,C,no,3 bedroom,1,90,370000
415,10,4,A,no,3 bedroom,0,90,470000
416,10,4,B,no,2 bedroom,0,100,420000
417,10,4,C,no,3 bedroom,1,110,420000
418,10,5,A,no,2 bedroom,0,90,420000
419,10,5,B,no,3 bedroom,1,100,420000
420,10,5,C,no,4 bedroom,0,100,420000
421,10,6,A,no,4 bedroom,0,100,420000
422,10,6,B,no,3 bedroom,1,90,370000
423,10,6,C,no,4 bedroom,0,100,370000
424,10,7,A,no,2 bedroom,0,110,370000
425,10,7,B,no,3 bedroom,1,100,420000
426,10,7,C,no,4 bedroom,0,100,370000
427,10,8,A,no,4 bedroom,0,110,420000
428,10,8,B,no,3 bedroom,0,110,470000
429,10,8,C,no,4 bedroom,1,90,470000
430,10,9,A,no,2 bedroom,0,110,470000
431,10,9,B,no,3 bedroom,1,90,420000
432,10,9,C,no,2 bedroom,0,100,470000
433,10,10,A,no,3 bedroom,1,110,370000
434,10,10,B,no,4 bedroom,0,100,470000
435,10,10,C,no,2 bedroom,0,100,420000
436,10,11,A,no,2 bedroom,1,110,420000
437,10,11,B,no,2 bedroom,0,110,420000
438,10,11,C,no,2 bedroom,0,90,370000
439,10,12,A,no,3 bedroom,0,110,420000
440,10,12,B,no,2 bedroom,1,90,420000
441,10,12,C,no,3 bedroom,0,90,420000
442,10,13,A,no,2 bedroom,0,100,370000
443,10,13,B,no,2 bedroom,0,90,370000
444,10,13,C,no,4 bedroom,1,90,370000
445,10,14,A,no,2 bedroom,0,110,370000
446,10,14,B,no,4 bedroom,0,90,370000
447,10,14,C,no,3 bedroom,1,110,370000
448,10,15,A,no,3 bedroom,0,100,470000
449,10,15,B,no,4 bedroom,0,90,420000
450,10,15,C,no,3 bedroom,1,100,370000
451,11,1,A,no,3 bedroom,0,110,420000
452,11,1,B,no,2 bedroom,0,110,470000
453,11,1,C,no,4 bedroom,1,90,370000
454,11,2,A,no,4 bedroom,0,100,470000
455,11,2,B,no,3 bedroom,1,100,370000
456,11,2,C,no,4 bedroom,0,100,420000
457,11,3,A,no,3 bedroom,0,100,420000
458,11,3,B,no,3 bedroom,1,110,370000
459,11,3,C,no,2 bedroom,0,90,370000
460,11,4,A,no,4 bedroom,0,100,370000
461,11,4,B,no,3 bedroom,0,110,470000
462,11,4,C,no,3 bedroom,1,100,420000
463,11,5,A,no,4 bedroom,0,90,470000
464,11,5,B,no,2 bedroom,0,110,370000
465,11,5,C,no,3 bedroom,1,110,420000
466,11,6,A,no,4 bedroom,0,90,420000
467,11,6,B,no,2 bedroom,0,100,420000
468,11,6,C,no,4 bedroom,1,100,420000
469,11,7,A,no,3 bedroom,1,110,370000
470,11,7,B,no,2 bedroom,0,110,420000
471,11,7,C,no,2 bedroom,0,100,420000
472,11,8,A,no,3 bedroom,0,100,370000
473,11,8,B,no,2 bedroom,0,90,370000
474,11,8,C,no,3 bedroom,1,90,370000
475,11,9,A,no,2 bedroom,1,100,370000
476,11,9,B,no,2 bedroom,0,100,470000
477,11,9,C,no,4 bedroom,0,110,420000
478,11,10,A,no,3 bedroom,1,90,420000
479,11,10,B,no,3 bedroom,0,100,470000
480,11,10,C,no,4 bedroom,0,90,470000
481,11,11,A,no,4 bedroom,0,110,370000
482,11,11,B,no,3 bedroom,0,90,470000
483,11,11,C,no,2 bedroom,1,90,420000
484,11,12,A,no,2 bedroom,0,90,470000
485,11,12,B,no,2 bedroom,1,100,370000
486,11,12,C,no,3 bedroom,0,90,470000
487,11,13,A,no,3 bedroom,1,100,470000
488,11,13,B,no,2 bedroom,0,90,470000
489,11,13,C,no,2 bedroom,0,100,470000
490,11,14,A,no,2 bedroom,0,90,420000
491,11,14,B,no,4 bedroom,0,90,370000
492,11,14,C,no,3 bedroom,1,90,370000
493,11,15,A,no,4 bedroom,1,90,420000
494,11,15,B,no,2 bedroom,0,110,370000
495,11,15,C,no,3 bedroom,0,110,470000
496,12,1,A,no,2 bedroom,1,110,420000
497,12,1,B,no,2 bedroom,0,110,420000
498,12,1,C,no,2 bedroom,0,90,470000
499,12,2,A,no,2 bedroom,0,100,470000
500,12,2,B,no,3 bedroom,1,110,370000
501,12,2,C,no,2 bedroom,0,100,370000
502,12,3,A,no,4 bedroom,0,100,470000
503,12,3,B,no,2 bedroom,1,90,370000
504,12,3,C,no,3 bedroom,0,100,470000
505,12,4,A,no,3 bedroom,1,100,420000
506,12,4,B,no,4 bedroom,0,110,470000
507,12,4,C,no,4 bedroom,0,110,370000
508,12,5,A,no,4 bedroom,1,110,420000
509,12,5,B,no,4 bedroom,0,90,420000
510,12,5,C,no,4 bedroom,0,90,370000
511,12,6,A,no,3 bedroom,1,110,370000
512,12,6,B,no,4 bedroom,0,110,420000
513,12,6,C,no,3 bedroom,0,90,420000
514,12,7,A,no,2 bedroom,0,110,370000
515,12,7,B,no,2 bedroom,1,90,420000
516,12,7,C,no,3 bedroom,0,100,420000
517,12,8,A,no,4 bedroom,0,100,370000
518,12,8,B,no,2 bedroom,1,110,370000
519,12,8,C,no,3 bedroom,0,110,420000
520,12,9,A,no,2 bedroom,1,100,420000
521,12,9,B,no,2 bedroom,0,110,470000
522,12,9,C,no,3 bedroom,0,90,370000
523,12,10,A,no,4 bedroom,0,110,470000
524,12,10,B,no,3 bedroom,1,110,420000
525,12,10,C,no,3 bedroom,0,90,470000
526,12,11,A,no,4 bedroom,0,90,420000
527,12,11,B,no,3 bedroom,0,90,470000
528,12,11,C,no,4 bedroom,1,90,370000
529,12,12,A,no,2 bedroom,1,100,370000
530,12,12,B,no,4 bedroom,0,100,370000
531,12,12,C,no,3 bedroom,0,110,470000
532,12,13,A,no,3 bedroom,1,90,370000
533,12,13,B,no,3 bedroom,0,100,370000
534,12,13,C,no,4 bedroom,0,90,470000
535,12,14,A,no,4 bedroom,0,90,470000
536,12,14,B,no,2 bedroom,1,90,420000
537,12,14,C,no,4 bedroom,0,100,420000
538,12,15,A,no,2 bedroom,1,110,470000
539,12,15,B,no,4 bedroom,0,110,370000
540,12,15,C,no,2 bedroom,0,100,470000
541,13,1,A,yes,2 bedroom,0,100,420000
542,13,1,B,yes,3 bedroom,0,90,470000
543,13,1,C,yes,2 bedroom,1,110,470000
544,13,2,A,yes,2 bedroom,1,90,420000
545,13,2,B,yes,4 bedroom,0,100,470000
546,13,2,C,yes,4 bedroom,0,90,470000
547,13,3,A,yes,3 bedroom,1,110,370000
548,13,3,B,yes,3 bedroom,0,90,470000
549,13,3,C,yes,4 bedroom,0,110,370000
550,13,4,A,yes,4 bedroom,0,90,420000
551,13,4,B,yes,2 bedroom,1,90,370000
552,13,4,C,yes,2 bedroom,0,100,370000
553,13,5,A,yes,3 bedroom,1,110,420000
554,13,5,B,yes,4 bedroom,0,110,470000
555,13,5,C,yes,3 bedroom,0,110,470000
556,13,6,A,yes,2 bedroom,1,110,370000
557,13,6,B,yes,4 bedroom,0,100,420000
558,13,6,C,yes,4 bedroom,0,110,420000
559,13,7,A,yes,3 bedroom,1,100,420000
560,13,7,B,yes,4 bedroom,0,100,370000
561,13,7,C,yes,4 bedroom,0,100,470000
562,13,8,A,yes,3 bedroom,0,100,470000
563,13,8,B,yes,2 bedroom,0,110,420000
564,13,8,C,yes,3 bedroom,1,100,420000
565,13,9,A,yes,4 bedroom,0,90,370000
566,13,9,B,yes,4 bedroom,0,90,370000
567,13,9,C,yes,2 bedroom,1,110,420000
568,13,10,A,yes,4 bedroom,0,110,420000
569,13,10,B,yes,4 bedroom,1,100,370000
570,13,10,C,yes,3 bedroom,0,110,420000
571,13,11,A,yes,4 bedroom,0,90,470000
